City_ID,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
312,Porto Franco,BR,44,1554149930,93,-6.34,-47.4,78.37,3.87
313,Atambua,ID,56,1554149930,100,-9.11,124.89,76.66,2.3
314,Lauf,DE,0,1554149818,58,48.65,8.13,59,9.17
315,Ahipara,NZ,48,1554149541,96,-35.17,173.16,65.68,12.82
316,Collie,AU,92,1554149843,65,-33.36,116.15,62.01,9.35
317,Iquique,CL,0,1554145200,53,-20.22,-70.14,73.4,16.11
318,Sao Felix do Xingu,BR,68,1554149325,81,-6.64,-51.99,82.96,1.97
319,Nakhon Nayok,TH,24,1554149254,79,14.2,101.21,79,1.86
320,Itarema,BR,48,1554149431,88,-2.92,-39.92,80.8,4.61
321,Touros,BR,40,1554145200,100,-5.2,-35.46,78.8,2.24
322,Aguadilla,PR,75,1554149928,69,18.43,-67.15,84.99,16.11
323,Susangerd,IR,0,1554147000,59,31.56,48.19,60.8,2.24
324,Schrobenhausen,DE,0,1554149826,81,48.56,11.27,51.8,6.93
325,Kavieng,PG,76,1554149689,100,-2.57,150.8,83.68,10.58
326,San Quintin,PH,0,1554149652,82,17.54,120.52,67.57,3.6
327,Khasan,RU,0,1554149382,100,42.43,130.64,27.61,9.24
328,Fairbanks,US,1,1554149228,69,64.84,-147.72,41,6.93
329,Sao Filipe,CV,0,1554149933,97,14.9,-24.5,70.81,14.56
330,Burnie,AU,0,1554148838,85,-41.05,145.91,50,4.72
331,Abu Kamal,SY,56,1554149408,85,34.45,40.92,51.01,9.35
332,Port Blair,IN,8,1554149383,100,11.67,92.75,83.68,4.32
333,Bridlington,GB,24,1554149795,81,54.08,-0.19,44.6,5.82
334,Bathsheba,BB,40,1554145200,65,13.22,-59.52,82.4,20.8
335,Port Lincoln,AU,0,1554149382,100,-34.72,135.86,59.65,12.77
336,Comodoro Rivadavia,AR,0,1554145200,40,-45.87,-67.48,71.6,12.75
337,Bartica,GY,40,1554145200,52,6.41,-58.62,89.6,4.61
338,Grindavik,IS,40,1554149215,100,63.84,-22.43,34,17.22
339,Haines Junction,CA,0,1554149878,40,60.75,-137.51,45.61,2.82
340,Sisimiut,GL,0,1554149696,98,66.94,-53.67,16.54,2.98
341,Lazaro Cardenas,MX,90,1554149414,25,28.39,-105.62,69.01,5.82
342,Selma,US,1,1554149929,38,36.57,-119.61,78.01,4.21
343,Lompoc,US,1,1554149291,33,34.64,-120.46,79,3.36
344,Cam Ranh,VN,20,1554147000,73,11.92,109.15,77,6.93
345,Hobyo,SO,0,1554149693,91,5.35,48.53,78.46,8.34
346,Pevek,RU,12,1554149337,73,69.7,170.27,20.77,14.34
347,San Jose de las Lajas,CU,75,1554149558,51,22.96,-82.15,84.2,9.17
348,Baker City,US,40,1554149781,41,44.77,-117.83,57.99,4.7
349,Atlantic Beach,US,90,1554149924,93,30.33,-81.4,60.01,23.04
350,Albion,US,75,1554149905,74,41.69,-98,59,3.36
351,Dongsheng,CN,100,1554149609,91,29.72,112.52,53.53,2.37
352,Tres Arroyos,AR,20,1554149937,35,-38.38,-60.28,83.23,11.32
353,Bambanglipuro,ID,92,1554149874,100,-7.95,110.28,72.16,2.82
354,Cabo San Lucas,MX,5,1554149816,36,22.89,-109.91,87.01,2.24
355,Maceio,BR,40,1554145200,66,-9.67,-35.74,84.2,10.29
356,Buin,CL,0,1554145200,36,-33.73,-70.74,78.8,5.82
357,Paita,PE,40,1554145200,290,-5.09,-81.11,62.6,10.25
358,Muncar,ID,20,1554149938,98,-8.43,114.34,78.37,3.09
359,Mehamn,NO,40,1554146400,80,71.03,27.85,30.2,17.22
360,Teguldet,RU,48,1554149443,91,57.31,88.17,28.42,5.84
361,Trairi,BR,76,1554149939,100,-3.28,-39.27,81.61,2.98
362,Ranong,TH,68,1554149634,100,9.96,98.62,82.42,3.6
363,Talcahuano,CL,0,1554145200,59,-36.72,-73.12,66.2,14.99
364,Vila Franca do Campo,PT,75,1554149052,67,37.72,-25.43,57.2,23.04
365,Fort Nelson,CA,75,1554145200,52,58.81,-122.69,41,3.31
366,Lorengau,PG,88,1554149388,97,-2.02,147.27,83.23,10.87
367,Mineiros,BR,64,1554149886,30,-17.57,-52.55,89.8,2.59
368,Salalah,OM,40,1554144600,74,17.01,54.1,80.6,5.82
369,Nabire,ID,0,1554149634,93,-3.36,135.5,66.49,2.08
370,Jining,CN,0,1554149940,54,35.41,116.58,39.94,9.35
371,Nova Olimpia,BR,24,1554149940,71,-14.8,-57.29,89.08,2.86
372,Muli,IN,0,1554149941,39,22.62,71.45,74.05,2.86
373,Azangaro,PE,75,1554145200,71,-14.91,-70.2,50,8.05
374,Ati,TD,0,1554149941,17,13.21,18.34,84.13,10.54
